system   D            wsystem.c:583  maybe_parent_dir                 [   0.00172] Also searching C:\Users\Andrey\Documents\Visual Studio 2012\Projects\Tetris\
display  D   display_settings.c:191  debug_display_settings           [   0.07283] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07284] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07286] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07287] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07288] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07290] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07291] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07293] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07294] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.07296] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.07297] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.07299] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.07300] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.07302] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.07303] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.07304] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.07306] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.07307] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.07308] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.07310] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.07311] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.07313] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.07314] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.07316] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.07317] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.07320] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.07322] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.07323] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.07325] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.07326] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.07328] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.07329] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.07331] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.07332] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.07333] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.07335] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.07336] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.07338] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.07339] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.07341] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.07342] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.07343] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.07345] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.07346] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.07347] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.07349] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.07350] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.07352] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.07353] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.07355] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.07356] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.07358] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.07359] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.07360] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.07362] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.07363] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.07365] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.07366] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.07367] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.07369] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.07370] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.07372] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.07373] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.07375] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.07376] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.07378] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07379] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.07381] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07382] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.07384] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07385] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.07387] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07388] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.07389] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07391] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.07392] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07394] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.07395] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07397] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07398] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07400] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07401] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07403] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07404] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07406] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07407] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07408] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07410] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07411] color: 16 (rgba 5650), depth: 15, stencil: 1, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07413] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07415] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07416] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07418] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07419] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07421] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07423] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07424] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07426] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07427] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07429] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07430] color: 16 (rgba 5650), depth: 32, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07432] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07433] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07434] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07436] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07437] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07439] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07440] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07442] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07443] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07445] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07446] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07447] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07449] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07450] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07452] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07454] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07455] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07457] color: 16 (rgba 5650), depth: 24, stencil: 4, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.07458] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07460] color: 0 (rgba 0000), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:217  _al_score_display_settings       [   0.07461] Display not compatible with Allegro.
display  D   display_settings.c:191  debug_display_settings           [   0.07463] color: 0 (rgba 0000), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:217  _al_score_display_settings       [   0.07464] Display not compatible with Allegro.
display  D   display_settings.c:191  debug_display_settings           [   0.07466] color: 0 (rgba 0000), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:217  _al_score_display_settings       [   0.07467] Display not compatible with Allegro.
display  D   display_settings.c:191  debug_display_settings           [   0.07469] color: 0 (rgba 0000), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:217  _al_score_display_settings       [   0.07470] Display not compatible with Allegro.
d3d      D         d3d_disp.cpp:1838 d3d_create_display_internals     [   0.07476] Trying format 0 of 188.
d3d      I         d3d_disp.cpp:1516 d3d_display_thread_proc          [   0.07644] Chose a display format: 23
d3d      I         d3d_disp.cpp:1585 d3d_display_thread_proc          [   0.07651] Normal window.
d3d      I         d3d_disp.cpp:992  d3d_create_device                [   0.09084] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:1057 d3d_create_device                [   0.23718] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:1065 d3d_create_device                [   0.23722] Success
d3d      D         d3d_disp.cpp:1861 d3d_create_display_internals     [   0.23729] Resumed after wait.
d3d      I         d3d_disp.cpp:1886 d3d_create_display_internals     [   0.23736] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.25717] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.25721] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.25722] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.25723] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.25724] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.25725] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.25727] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.25728] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.25729] Fake format
d3d      D         d3d_disp.cpp:1364 real_choose_bitmap_format        [   0.25730] Alpha doesn't match
d3d      D         d3d_disp.cpp:1371 real_choose_bitmap_format        [   0.25731] Adapter format is 23
d3d      D         d3d_disp.cpp:1374 real_choose_bitmap_format        [   0.25732] Found a format
d3d      I         d3d_disp.cpp:2448 _al_d3d_create_bitmap            [   0.25734] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.25760] added dtor for object 045979F8, func 607A200E
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.26105] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.26109] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.26153] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.26155] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.26157] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.26158] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.26159] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.26160] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.26162] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.26163] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.26164] Fake format
d3d      D         d3d_disp.cpp:1364 real_choose_bitmap_format        [   0.26165] Alpha doesn't match
d3d      D         d3d_disp.cpp:1371 real_choose_bitmap_format        [   0.26166] Adapter format is 23
d3d      D         d3d_disp.cpp:1374 real_choose_bitmap_format        [   0.26168] Found a format
d3d      I         d3d_disp.cpp:2448 _al_d3d_create_bitmap            [   0.26169] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.26192] added dtor for object 04598168, func 607A200E
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.26351] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.26355] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.26394] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.26396] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.26397] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.26398] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.26399] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.26401] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.26402] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.26403] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.26404] Fake format
d3d      D         d3d_disp.cpp:1364 real_choose_bitmap_format        [   0.26405] Alpha doesn't match
d3d      D         d3d_disp.cpp:1371 real_choose_bitmap_format        [   0.26406] Adapter format is 23
d3d      D         d3d_disp.cpp:1374 real_choose_bitmap_format        [   0.26408] Found a format
d3d      I         d3d_disp.cpp:2448 _al_d3d_create_bitmap            [   0.26409] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.26433] added dtor for object 04598810, func 607A200E
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.26571] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.26575] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.26616] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.26617] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.26618] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.26620] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.26621] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.26622] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.26623] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.26625] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.26626] Fake format
d3d      D         d3d_disp.cpp:1364 real_choose_bitmap_format        [   0.26627] Alpha doesn't match
d3d      D         d3d_disp.cpp:1371 real_choose_bitmap_format        [   0.26628] Adapter format is 23
d3d      D         d3d_disp.cpp:1374 real_choose_bitmap_format        [   0.26630] Found a format
d3d      I         d3d_disp.cpp:2448 _al_d3d_create_bitmap            [   0.26631] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.26653] added dtor for object 04598F20, func 607A200E
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.26925] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.26930] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.26972] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.26973] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.26975] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.26976] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.26977] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.26978] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.26979] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.26980] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.26982] Fake format
d3d      D         d3d_disp.cpp:1364 real_choose_bitmap_format        [   0.26983] Alpha doesn't match
d3d      D         d3d_disp.cpp:1371 real_choose_bitmap_format        [   0.26984] Adapter format is 23
d3d      D         d3d_disp.cpp:1374 real_choose_bitmap_format        [   0.26985] Found a format
d3d      I         d3d_disp.cpp:2448 _al_d3d_create_bitmap            [   0.26986] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.27010] added dtor for object 04599580, func 607A200E
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.27530] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.27534] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.27576] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.27578] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.27579] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.27582] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.27583] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.27584] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.27585] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.27586] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.27588] Fake format
d3d      D         d3d_disp.cpp:1364 real_choose_bitmap_format        [   0.27589] Alpha doesn't match
d3d      D         d3d_disp.cpp:1371 real_choose_bitmap_format        [   0.27590] Adapter format is 23
d3d      D         d3d_disp.cpp:1374 real_choose_bitmap_format        [   0.27591] Found a format
d3d      I         d3d_disp.cpp:2448 _al_d3d_create_bitmap            [   0.27593] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.27617] added dtor for object 04599C60, func 607A200E
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.27770] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.27776] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.27817] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.27819] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.27820] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.27821] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.27823] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.27824] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.27825] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.27827] Fake format
d3d      D         d3d_disp.cpp:1356 real_choose_bitmap_format        [   0.27828] Fake format
d3d      D         d3d_disp.cpp:1364 real_choose_bitmap_format        [   0.27829] Alpha doesn't match
d3d      D         d3d_disp.cpp:1371 real_choose_bitmap_format        [   0.27830] Adapter format is 23
d3d      D         d3d_disp.cpp:1374 real_choose_bitmap_format        [   0.27832] Found a format
d3d      I         d3d_disp.cpp:2448 _al_d3d_create_bitmap            [   0.27833] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.27868] added dtor for object 0459A2C0, func 607A200E
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.28091] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.28096] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:184  _al_register_destructor          [   0.29488] added dtor for object 04598E70, func 607A2216
dtor     D               dtor.c:184  _al_register_destructor          [   0.29494] added dtor for object 0459ABF0, func 607A1F4B
dtor     D               dtor.c:184  _al_register_destructor          [   0.29495] added dtor for object 0459ADE8, func 607A1F4B
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.35203] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.35208] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.35265] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.35267] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.35310] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.35312] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.35352] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.35354] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.35406] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.35408] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.35453] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.35455] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.35498] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.35500] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:214  _al_unregister_destructor        [   9.34787] removed dtor for object 0459ABF0
